,comment_count,dislike_count,duration,like_count,live,title,view_count,publish_hour,publish_day,publish_month,publish_date,days_after_last_video,title_length,description_length,tag_count
1603,15,7,277,24,0,Robo Snake 3D Application Review,2395,16,3,4,2009-04-30,2,32,144,12
1602,21,3,636,33,0,Application Review 3,4192,20,4,5,2009-05-01,1,20,184,15
1601,30,8,642,62,0,Can You Replace Safari? A Web Browser Comparison Test,6895,20,5,5,2009-05-02,1,53,368,19
1600,14,1,636,22,0,Application Review 4,1065,21,1,5,2009-05-05,3,20,263,14
1599,24,2,371,29,0,World Cup Ping Pong Application Review,3658,20,2,5,2009-05-06,1,38,305,16
1598,13,2,616,19,0,Application Review 5,867,21,3,5,2009-05-07,1,20,545,16
1597,5,6,405,24,0,7 Days Apocalypse Application Review,1734,5,2,5,2009-05-13,6,36,210,16
1596,8,1,608,18,0,Application Review 6,1007,23,2,5,2009-05-13,0,20,238,18
1595,39,7,568,69,0,iPhone and iTouch Tips and Tricks,5972,20,4,5,2009-05-15,2,33,499,12
1594,6,8,518,20,0,Attack from the Dead Application Review,2676,20,2,5,2009-05-20,5,39,503,17
1593,9,1,591,19,0,Application Review 7,853,21,4,5,2009-05-22,2,20,659,13
1592,144,16,559,239,0,Speculation on the Next iPhone,19682,17,1,5,2009-05-26,4,30,428,10
1591,213,49,363,288,0,Tutorial: How to Make Your PC Look Like a Mac + Giveaway,165705,17,2,5,2009-05-27,1,56,1026,17
1590,10,5,196,30,0,First Look: Prey Invasion,2209,18,4,5,2009-05-29,2,25,290,14
1589,15,3,225,76,0,Overview: iPhone 3GS,6613,20,0,6,2009-06-01,3,20,323,11
1588,19,3,310,23,0,First Look: Safari 4,2131,2,4,6,2009-06-05,4,20,1053,12
1587,74,10,436,98,0,Browser Speed Test: Firefox vs Chrome vs Safari vs IE + Giveaway Winners,38419,21,6,6,2009-06-07,2,72,788,16
1586,26,5,620,48,0,iPhone 3G S: Everything You Need To Know,5479,15,0,6,2009-06-08,1,40,834,13
1585,20,3,440,27,0,The Sims 3 Application Review,3414,20,0,6,2009-06-08,0,29,598,14
1584,11,0,602,17,0,Application Review 8,814,23,0,6,2009-06-08,0,20,868,16
1583,35,0,495,39,0,First Look: iPhone OS 3.0,2217,20,2,6,2009-06-10,2,25,298,10
1582,21,1,455,36,0,Tutorial: How To Jailbreak Your iDevice on 3.0 Firmware,6096,22,3,6,2009-06-11,1,55,1119,10
1581,14,1,566,28,0,In Depth Look at iPhone OS 3.0: Part One,1768,3,5,6,2009-06-13,2,40,362,11
1580,19,1,639,25,0,Great Places To Find Deals on iPhone and iTouch Cases,1213,1,2,6,2009-06-17,4,53,619,18
1579,15,1,630,28,0,In Depth Look At iPhone OS 3.0: Part Two,1823,0,3,6,2009-06-18,1,40,498,13
1578,9,0,654,23,0,Real Racing Application Review,1705,20,5,6,2009-06-20,2,30,490,9
1577,37,8,426,33,0,"News 7/3/09: 3GS Jailbreak, 3.1 Update and 3GS Overheating Issues",36688,22,6,6,2009-06-21,1,65,288,15
1576,10,0,598,21,0,Doom Resurrection Application Review,1423,4,5,6,2009-06-27,6,36,358,8
1575,34,4,64,76,0,Kodak Easyshare M1033 Video Test (HD),8190,19,6,6,2009-06-28,1,37,361,7
1574,20,8,573,36,0,Sentinel 2: Earth Defense Application Review,7847,5,2,7,2009-07-01,3,44,401,11
1573,12,9,245,41,0,Must Have Cydia Applications: QuickLock,13582,22,4,7,2009-07-03,2,39,494,9
1572,11,5,349,31,0,Griffin Nu Form Case Review,2204,1,6,7,2009-07-05,2,27,745,10
1571,11,6,200,36,0,Must Have Cydia Applications: SpotBright,18086,18,3,7,2009-07-09,4,40,193,11
1570,7,2,345,14,0,hExistentialism Application Review,813,0,2,7,2009-07-15,6,34,555,11
1569,22,6,414,72,0,Tutorial: How To Add Custom Themes To Vista,14711,19,3,7,2009-07-16,1,43,944,10
1568,60,19,330,79,0,Must Have Cydia Applications: SBSettings,80370,21,5,7,2009-07-18,2,40,582,10
1567,22,3,398,61,0,Resident Evil 4 Application Review,11410,19,0,7,2009-07-20,2,34,632,10
1566,16,8,560,28,0,Tutorial: How To Get Aero Transparency and More on Vista,7214,19,1,7,2009-07-21,1,56,1034,14
1565,55,5,614,121,0,My Favorite Old Technology,10012,19,3,7,2009-07-23,2,26,342,15
1564,13,3,268,19,0,GloBall Application Review,1035,20,4,7,2009-07-24,1,26,460,8
1563,288,87,460,236,0,Browser Test: IE vs Chrome vs Firefox vs Opera vs Safari,143727,18,1,7,2009-07-28,4,56,1150,11
1562,10,9,485,24,0,Windows 7: Taskbar,9568,19,4,7,2009-07-31,3,18,267,7
1561,21,3,450,45,0,Gangstar: West Coast Hustle Application Review,4619,22,6,8,2009-08-02,2,46,601,11
1560,34,2,221,49,0,Must Have Cydia Applications: BossPaper,57613,20,1,8,2009-08-04,2,39,462,12
1559,10,1,214,14,0,It's Only Rock and Roll: The Event Predictions,693,20,5,8,2009-08-15,11,46,500,13
1558,9,5,324,32,0,What's On My Taskbar,4154,19,1,8,2009-08-25,10,20,223,7
1557,3,0,253,16,0,Jewel Falls Application Review,597,20,2,8,2009-08-26,1,30,493,9
1556,7,1,212,15,0,Karuki Application Review,663,17,5,8,2009-08-29,3,25,500,8
1555,353,30,280,868,0,Tips on How To Avoid the Red Ring of Death,62361,1,2,9,2009-09-02,4,42,279,12
1554,12,1,192,42,0,"New iPods, iTunes 9 and No Cameras?",6178,15,3,9,2009-09-03,1,35,348,12
1553,9,0,399,23,0,A Guide To The New iPod touch Models,800,20,4,9,2009-09-04,1,36,521,10
1552,6,1,333,12,0,Blades of Fury Application Review,2379,21,6,9,2009-09-06,2,33,650,11
1550,14,2,218,18,0,iTunes 9 Home Sharing Demo,9363,20,2,9,2009-09-09,3,26,253,7
1551,362,47,377,453,0,iBook G4 Unboxing,72908,3,2,9,2009-09-09,0,17,451,5
1549,5,1,221,20,0,geoDefense Swarm Application Review,2029,18,3,9,2009-09-10,1,35,599,9
1548,5,2,322,15,0,Horror Racing Application Review,1491,17,4,9,2009-09-11,1,32,375,9
1547,17,1,259,25,0,Must Have Cydia Applications: WbApp,14796,18,5,9,2009-09-12,1,35,254,8
1546,17,0,650,55,0,How To Make Winterboard Themes,9699,17,0,9,2009-09-14,2,30,309,12
1545,39,11,227,144,0,Should You Get A PSPgo?,13250,19,1,9,2009-09-15,1,23,223,7
1544,7,2,325,13,0,First Look: Galcon Labs,1926,17,5,9,2009-09-26,11,23,161,9
1543,47,8,153,72,0,Must Have Cydia Applications: Multi Icon Mover,60417,17,0,9,2009-09-28,2,46,174,12
1542,3,0,259,20,0,TouchWars Application Review,735,19,3,10,2009-10-01,3,28,372,9
1541,13,6,154,32,0,News: iPhone OS 3.1.2 and blackra1n,17655,16,4,10,2009-10-02,1,35,284,9
1540,10,0,307,17,0,First Look: Photoshop for iPhone,1699,1,5,10,2009-10-03,1,32,276,12
1539,40,2,300,36,0,How To Jailbreak Your iPhone or iPod touch on 3.1.2 Firmware,7118,0,0,10,2009-10-05,2,60,238,11
1538,67,4,473,93,0,Gateway NV52 Unboxing,19712,19,3,10,2009-10-08,3,21,297,5
1536,7,0,234,12,0,Great iPhone Websites: iPhoneDesignz.com,801,23,4,10,2009-10-09,1,40,179,10
1537,126,5,370,56,0,How To Get Winterboard Working On 3.1.2 After blackra1n,40875,17,4,10,2009-10-09,0,55,272,11
1535,14,5,168,28,0,Must Have Cydia Applications: Orbit (Exposé for iPhone),15936,18,6,10,2009-10-11,2,55,245,12
1534,27,4,389,63,0,How To Display Your iPhone Screen On Your Computer Using VNC,32896,3,2,10,2009-10-14,3,60,208,15
1533,18,1,350,54,0,"New iMac, Macbook and Mac Mini: A Rundown",2718,17,3,10,2009-10-15,1,41,147,9
1532,50,19,197,160,0,How To Get More Battery Life With Your iPhone or iPod touch,54764,21,4,10,2009-10-16,1,59,177,12
1531,13,10,295,43,0,A Look at Barnes and Noble's nook,13060,21,5,10,2009-10-17,1,33,198,7
1530,14,2,171,19,0,Android 2.0 Overview,2828,21,0,10,2009-10-19,2,20,189,5
1529,10,1,470,27,0,First Look: Ubuntu 9.10 (Karmic Koala),3252,20,1,10,2009-10-20,1,38,161,10
1528,573,188,466,2099,0,How to Get a Dual Screen Setup for Your Laptop,563786,16,3,10,2009-10-22,2,46,102,13
1527,13,4,165,33,0,Sony Studio Monitor Series MDR-V150 Headphones Unboxing,8265,18,4,10,2009-10-23,1,55,230,7
1526,11,4,170,32,0,iPhone Nano For Verizon: iDoesn't...Does?,6649,20,1,10,2009-10-27,4,41,182,8
1525,13,2,138,19,0,First Look: sn0wbreeze,5721,17,4,10,2009-10-30,3,22,154,9
1524,11,1,354,23,0,How To Avoid The Rickroll SSH Worm,5017,1,4,11,2009-11-06,7,34,171,12
1523,6,0,296,40,0,How To Boot Your Windows PC Faster,3174,18,5,11,2009-11-07,1,34,137,12
1522,29,12,257,39,0,iPhone OS 3.2: What's To Come,14092,3,6,11,2009-11-08,1,29,126,13
1521,33,1,423,54,0,Call of Duty: World at War Zombies Application Review,6649,18,0,11,2009-11-09,1,53,189,15
1520,69,116,153,67,0,First Look: Internet Explorer 9,43484,18,2,11,2009-11-11,2,31,258,4
1519,33,9,211,33,0,First Look: Google Chrome OS,19249,17,4,11,2009-11-13,2,28,137,9
1518,317,256,540,943,0,How To Install Google Chrome OS,666378,20,6,11,2009-11-15,2,31,527,9
1517,6,0,277,17,0,Multifl0w Application Review,1309,2,2,11,2009-11-18,3,28,173,6
1516,10,7,469,19,0,How To Add A Folder To The Windows 7 Taskbar,3858,22,2,11,2009-11-18,0,44,277,7
1515,20,3,196,25,0,Mirror's Edge for iPhone + Giveaway Winners,7835,21,3,11,2009-11-19,1,43,129,7
1514,39,4,275,56,0,Use A Wiimote To Control nes4iphone,21872,3,5,11,2009-11-21,2,35,122,11
1513,27,41,156,29,0,First Look: JooJoo (CrunchPad),22579,17,4,11,2009-11-27,6,30,129,7
1512,16,0,336,20,0,How To Take Your Browser With You,998,19,5,11,2009-11-28,1,33,214,13
1511,7,5,141,14,0,The Google Phone: First Details,3103,20,2,12,2009-12-02,4,31,116,11
1510,11,3,397,26,0,First Look: Need For Speed: Shift for iPhone and iPod touch,7448,18,4,12,2009-12-04,2,59,134,11
1509,10,1,199,20,0,"Inside Tech: Google Phone: Nexus One, Psystar Closes?",5262,22,0,12,2009-12-07,3,53,140,16
1508,7,3,399,23,0,"Inside Tech: Opera 10.5 First Look, PSN Premium",1877,22,3,12,2009-12-10,3,47,200,11
1507,113,25,287,118,0,iSlate: The Apple Tablet Revealed?,113168,21,5,12,2009-12-12,2,34,270,9
1506,45,3,430,96,0,Sanyo Xacti VPC-CG10 Unboxing,7049,2,5,12,2009-12-19,7,29,101,9
1505,21,2,406,19,0,Trenches Application Review,4707,19,5,12,2009-12-19,0,27,117,7
1504,3,1,301,15,0,"Inside Tech - CES 2010: Spring Design Alex ereader, Lenovo IdeaPad U1",8725,20,3,12,2009-12-24,5,69,147,14
1503,17,9,141,26,0,Kodak PLAYSPORT First Look,19842,19,6,12,2009-12-27,3,26,102,6
1502,18,3,136,11,0,First Look: Palm Pre Plus and Palm Pixi Plus for Verizon,5370,1,2,12,2009-12-30,3,56,115,12
1501,70,40,191,73,0,First Look: Dell Mini 5,102025,23,1,1,2010-01-05,6,23,243,7
1500,12,5,424,31,0,iPhone Theme Simulator: Test Winterboard Themes On Your PC,7507,22,2,1,2010-01-06,1,58,248,9
1499,88,17,498,192,0,Windows 7 God Mode and Logon Background Customization,49722,19,3,1,2010-01-07,1,53,365,12
1498,44,5,315,55,0,Gateway NV52 Hardware Overview,19130,0,4,1,2010-01-08,1,30,162,9
1497,14,1,86,15,0,Apple Tablet Event Confirmed For January 27th: The iSlate Is Coming,2797,20,4,1,2010-01-08,0,67,240,4
1496,61,5,649,47,0,Custom Boot Logos Using redsn0w 0.9: Jailbreak Your iPhone or iPod touch on 3.1.2 Firmware,34974,18,6,1,2010-01-10,2,90,1983,17
1495,28,5,250,42,0,Browser Test: Apple Safari 4,17172,0,4,1,2010-01-15,5,28,148,11
1494,50,9,231,87,0,Browser Test: Google Chrome 4,27171,3,6,1,2010-01-17,2,29,181,11
1493,49,20,238,79,0,Browser Test: Mozilla Firefox 3.6,63812,17,0,1,2010-01-18,1,33,205,12
1492,46,8,249,67,0,Browser Test: Opera 10.5,23745,0,4,1,2010-01-22,4,24,216,12
1487,83,7,544,117,0,iPad: The Apple Tablet Exposed,14954,22,5,1,2010-01-23,1,30,172,7
1488,68,10,216,87,0,Must Have Cydia Applications: AndroidLock,76972,22,5,1,2010-01-23,0,41,241,11
1486,315,122,646,403,0,Tablet Wars: Apple iPad vs. JooJoo vs. HP Slate vs. Dell Streak 5,139232,23,5,1,2010-01-23,0,65,264,11
1490,100,36,170,161,0,Browser Test: Chrome 4 vs. Firefox 3.6 vs. Internet Explorer 8 vs. Opera 10.5 vs. Safari 4,90663,21,5,1,2010-01-23,0,90,559,22
1491,31,5,209,28,0,Browser Test: Microsoft Internet Explorer 8,11149,21,5,1,2010-01-23,0,43,155,12
1489,118,45,449,141,0,"Apple Event January 2010: Apple Tablet, iPhone OS 4.0",46544,22,5,1,2010-01-23,0,53,325,17
1484,77,8,437,94,0,Logitech Touch Mouse Application Review,33946,6,1,1,2010-01-26,3,39,305,11
1485,29,11,402,49,0,Zune Phone: Windows Mobile 7 First Details,13130,4,1,1,2010-01-26,0,42,212,12
1483,18,2,538,26,0,iDroid Mini Browser: Better Than Safari?,4260,21,2,1,2010-01-27,1,40,219,16
1482,26,2,464,29,0,Modern Warfare 2 Winterboard Theme Review,3559,15,6,1,2010-01-31,4,41,325,10
1481,136,14,79,150,0,Nintendo Console Wars: SNES vs. N64 vs. Gamecube vs. Wii Trailer,23828,0,1,2,2010-02-02,2,64,107,12
1480,213,27,533,175,0,Nintendo Console Wars Round 1: Design,22388,21,3,2,2010-02-04,2,37,193,12
1479,61,13,558,95,0,LG VX5500 for Verizon Review,25838,20,5,2,2010-02-06,2,28,267,9
1478,83,26,633,84,0,Best Android Phone: Motorola Devour vs. HTC Droid Eris vs. Droid vs. Nexus One,33429,23,1,2,2010-02-09,3,78,193,13
1477,4,1,108,13,0,Sony Reader Pocket Edition PRS-300 Hands On,4024,1,4,2,2010-02-12,3,43,247,8
1476,67,54,478,85,0,Sony PlayStation Phone and PSPad Tablet: First Details,67844,21,5,2,2010-02-13,1,54,272,7
1475,33,7,306,62,0,Microsoft Courier: The Tablet For The Rest Of Us?,9133,23,2,2,2010-02-24,11,49,154,6
1474,104,16,642,85,0,Nintendo Console Wars Round 2: Controller,12438,1,5,2,2010-02-27,3,41,218,12
1473,27,9,213,42,0,Must Have Cydia Applications: Infiniboard,20856,19,6,2,2010-02-28,1,41,231,12
1472,502,93,571,193,0,PlayStation Move vs. Xbox Natal vs. Wii Remote: Controller Showdown,59954,21,3,3,2010-03-04,4,67,266,13
1471,11,0,209,15,0,SuperbarMonitor: Real Time Data On Your Superbar,652,21,4,3,2010-03-05,1,48,205,5
1470,50,2,350,22,0,ToolJail: Jailbreak Tutorials for iPhone and iPod touch,3168,23,6,3,2010-03-07,2,55,227,12
1469,14,1,422,17,0,Windows Phone 7 Series Hands On: Interface and Internet Explorer,2424,18,2,3,2010-03-10,3,64,251,10
1468,50,11,421,44,0,Hands On: Internet Explorer 9,16428,0,4,3,2010-03-12,2,29,287,9
1467,50,1,364,49,0,First Details: Nintendo DS 2 (2010),6101,20,4,3,2010-03-12,0,35,200,7
1466,115,100,426,119,0,iPad Jailbreak: Everything You Need To Know,68742,1,6,3,2010-03-14,2,43,322,8
1465,17,4,624,48,0,"Old Tech: Sony PlayStation, Super Nintendo, Game Boy Color",2918,23,0,3,2010-03-15,1,58,254,16
1464,27,4,328,26,0,iPhone SMS 3.1.3 Bug: What You Need To Know,6211,19,1,3,2010-03-16,1,43,307,14
1463,48,29,246,68,0,"3.2 Update, iPhone 3GS, iPod touch, iPad Untethered Jailbreak Coming?",40993,17,2,3,2010-03-17,1,69,450,15
1462,52,4,535,73,0,"Old Tech: Game Boy Pocket, Old Cellphones, eMachines T1440",6028,22,3,3,2010-03-18,1,58,126,10
1461,98,27,321,102,0,iPhone HD for Verizon: First Details,24299,17,6,3,2010-03-21,3,36,314,9
1460,80,5,385,76,0,"iTunes 9.1: What's New, Install and blackra1n Fix",35512,22,3,3,2010-03-25,4,49,441,13
1459,164,138,277,233,0,The First iPad Jailbreak: Spirit,96604,22,4,3,2010-03-26,1,32,347,9
1458,83,14,221,81,0,iPhone OS 4.0 Event Coming April 8th: What To Expect,12391,20,6,3,2010-03-28,2,52,240,8
1457,443,173,599,487,0,HP Slate Full Rundown Vs. iPad,103865,1,1,3,2010-03-30,2,30,250,14
1456,82,9,567,95,0,iOS 4.0: Full Details,11786,2,2,3,2010-03-31,1,21,285,14
1455,142,42,562,258,0,"Get iPhone OS 4.0 Features Right Now: Full Theme, Multitasking and More",72411,20,6,4,2010-04-04,4,71,609,15
1454,25,7,35,30,0,Is Windows 7 Worth It?,1609,20,0,4,2010-04-05,1,22,31,5
1453,25,3,645,50,0,Opera Mini for iPhone and iPod touch Review,8058,1,2,4,2010-04-07,2,43,206,10
1452,45,14,311,46,0,"HTC Droid Incredible, iPad Delays and iPhone HD Release Date?",18945,20,3,4,2010-04-08,1,61,377,13
1451,44,56,235,53,0,"Dell Streak 5, Streak 7 and Streak 10 First Look",70728,17,4,4,2010-04-09,1,48,331,9
1450,80,73,291,74,0,iPhone HD 4G Revealed,68913,15,0,4,2010-04-12,3,21,260,9
1448,196,35,762,369,0,Game Boy Play It Loud Review,55471,20,2,4,2010-04-14,2,28,253,10
1449,98,67,405,105,0,iPhone 4G Rundown,54736,4,2,4,2010-04-14,0,17,306,6
1447,125,13,487,92,0,"Preparing for Spirit Jailbreak: AutoSHSH for iPhone, iPad and iPod touch",50047,0,5,4,2010-04-17,3,72,636,13
1446,419,14,266,213,0,"Spirit Untethered Jailbreak for iPhone, iPad and iPod touch on 3.1.3 and 3.2",110408,1,0,4,2010-04-19,2,76,484,22
1445,34,7,349,20,0,HTC EVO 4G Release Date and Android on the iPhone 3G,12469,17,0,4,2010-04-19,0,52,362,14
1444,37,0,159,35,0,Fruit Ninja Application Review,2493,21,4,4,2010-04-30,11,30,210,6
1443,21,17,239,31,0,"Motorola Flipout, Visual Boy Zune and MSI Slatebook",21284,3,6,5,2010-05-02,2,51,288,15
1442,116,69,346,147,0,iPhone 4 Leaked and Upgrade Info,45682,3,0,5,2010-05-03,1,32,506,12
1441,40,2,194,18,0,Portal for Free! Steam for Mac is Out,3972,18,4,5,2010-05-07,4,37,281,7
1440,544,138,403,358,0,Browser Test: Chrome 5 vs. Firefox 4 vs. Internet Explorer 9 vs. Opera 10.5 vs. Safari 4,204479,1,0,5,2010-05-10,3,88,691,12
