,comment_count,dislike_count,duration,like_count,live,title,view_count,publish_hour,publish_day,publish_month,publish_date,days_after_last_video,title_length,description_length,tag_count
1154,135,30,254,631,0,"2010 15"" Core i7 2.66GHz MacBook Pro Full Review & In Depth Look!",147963,22,4,4,2010-04-16,3,65,65,24
1153,49,11,195,178,0,"Core i5 15"" 2.4 GHz Apple MacBook Pro Unboxing! April 2010 :)",35098,0,6,4,2010-04-18,2,61,211,15
1152,418,321,70,615,0,"15 "" 2.4 GHz Core i5 vs 2.66 GHz Core i7 MacBook Pro Boot Up Showdown!",434294,0,1,4,2010-04-20,2,70,629,19
1151,145,14,282,482,0,2.4 GHz Core i5 or Core i7 2.66 GHz MacBook Pro? i5 vs i7 Benchmarks & Which one you should get!,110914,18,3,4,2010-04-22,2,96,233,24
1150,22,7,45,63,0,"""Must Have Mac Apps"" gfxCardStatus - Tell which Graphics Card your 2010 MacBook Pro is Using!",15155,16,4,4,2010-04-23,1,93,147,18
1149,174,37,237,712,0,"2010 13"" Core 2 Duo Macbook Pro or the Core i5/i7? Benchmarks & Which to Buy!",205424,17,4,4,2010-04-23,0,77,148,17
1148,18,3,68,45,0,"""Must Have Mac Apps"" Caffeine - Keep Your Mac Awake!",8052,6,6,4,2010-04-25,2,52,101,8
1147,6,1,56,54,0,"""Must Have Mac Apps"" smcFanControl - Keep your Mac Cool! For Free! :)",7322,20,6,4,2010-04-25,0,69,137,16
1146,41,13,94,198,0,Just what do those damn Apple Symbols mean? Apple Keyboard Symbol Guide for Mac Newbies,22532,18,3,4,2010-04-29,4,87,145,12
1145,33,3,265,71,0,1K Subscriber iPod Shuffle Contest Winner!,3369,17,4,4,2010-04-30,1,42,220,12
1144,13,2,86,56,0,Canon EFS 55-250mm Lens Unboxing (HD),16065,23,4,5,2010-05-07,7,37,203,9
1143,38,7,66,131,0,Canon 7D & EFS 55-250mm Lens 1080P HD Video Test,75018,21,0,5,2010-05-10,3,48,48,9
1142,18,2,90,80,0,"""Must Have Mac Apps"" Handbrake - Rip Your DVD's to your HD/iPod/iPad/iPhone/Xbox/PS3",22249,2,5,5,2010-05-15,5,84,300,8
1141,42,4,66,111,0,Canon 7D Internal Mic vs Zoom H4N External Mic Test,34629,16,0,5,2010-05-17,2,51,51,9
1140,31,3,196,149,0,"""Must Have Mac Apps"" BetterTouchTool (MacBook/Pro Edition) - Take Control Of Your Trackpad!",31621,19,1,5,2010-05-18,1,91,243,14
1139,28,1,55,64,0,1500 Subs :) Thank you / Nano Drawing Update / UStream Debut,3501,23,4,5,2010-05-21,3,60,235,10
1138,57,22,75,69,0,Samsung Galaxy Tab - Specs and first look...iPad Killer?,93707,16,2,5,2010-05-26,5,56,187,12
1137,25,4,120,78,0,iMovie for iPhone 4! 720P HD Mobile Editing Suite,13605,6,5,5,2010-05-29,3,49,133,15
1136,46,6,265,133,0,"iPhone 4 Preview & First Look - Release Date, Price, Specs & Features!",33597,20,3,6,2010-06-03,5,70,251,21
1135,29,2,75,87,0,iPhone 4 Camera / Picture Quality Example (5 Megapixel) HD,16154,23,3,6,2010-06-03,0,58,219,11
1134,34,2,227,95,0,Kingston 256GB V+ Series SSD / Crucial 8GB MacBook Pro Memory Unboxing,14065,19,0,6,2010-06-07,4,70,157,17
1133,20,3,170,69,0,New 2010 Apple Mac Mini Aluminum! First Look & Preview! New Design! HDMI / NVIDIA 320M,23027,21,0,6,2010-06-07,0,86,149,15
1132,32,10,102,180,0,Core i7 MacBook Pro Bootup - Kingston 256GB V+ SSD vs Stock 5400 RPM HDD,29306,18,2,6,2010-06-09,2,72,211,17
1131,198,76,222,1459,0,How to Install an SSD / Upgrade Your Hard Drive on a 2010 Unibody MacBook Pro,425258,23,5,6,2010-06-12,3,77,150,23
1130,145,18,303,381,0,New Xbox 360 Slim Elite S Unboxing - 250GB HD / WiFi / Kinect Ready / E3,77742,9,1,6,2010-06-15,3,72,161,15
1129,49,13,65,165,0,New Xbox 360 Slim vs Old Side by Side Comparison & First Look,20837,21,2,6,2010-06-16,1,61,142,13
1128,44,6,33,110,0,New Xbox 360 Slim Noise Level / Sound Comparison Test!,21807,15,3,6,2010-06-17,1,54,47,11
1127,230,42,105,958,0,How To Create/Make Folders iOS4 & iOS5 - iPhone & iPod Touch,523594,16,5,6,2010-06-19,2,60,60,9
1126,129,43,141,306,0,"New Xbox 360 Slim 250GB Review (WiFi, Kinect, E3) - Is it worth buying?",88476,17,5,6,2010-06-19,0,71,62,16
1125,63,21,168,325,0,32GB iPhone 4 Unboxing (Black) & Hands on!,51105,19,5,6,2010-06-19,0,42,177,15
1124,49,7,133,168,0,iPhone 4 Bumpers Unboxing / Review & Installation,36167,21,0,6,2010-06-21,2,49,48,10
1123,6,1,144,44,0,Live iPhone 4 FaceTime Demo Call / Review ft. Jason from RealDealReview,8434,3,1,6,2010-06-22,1,71,167,12
1122,25,5,238,65,0,iMovie For iPhone 4 Review / Tutorial / How To,24789,16,3,6,2010-06-24,2,46,46,12
1121,37,10,118,97,0,iPhone 4 vs iPhone 3GS Speed Test 1 - App / Game Loading,42372,19,3,6,2010-06-24,0,56,56,8
1120,21,7,141,71,0,iPhone 4 vs iPhone 3GS Speed Test -  2 Web Browsing/Safari 3G & WiFi,24868,21,3,6,2010-06-24,0,68,163,9
1116,43,3,45,82,0,iPhone 4 Low Light / Night Video Test - Edited on iMovie for iPhone,16860,18,4,6,2010-06-25,1,67,145,10
1115,23,5,139,101,0,iMovie Trick - How To Fade in & Fade Out In iMovie for iPhone 4 :),20225,23,4,6,2010-06-25,0,66,66,15
1118,23,20,90,47,0,iPhone 4 Reception Problem & Fix,39200,2,4,6,2010-06-25,0,32,50,10
1117,67,29,273,517,0,iPhone 4 Review & Hands On (Official),59916,18,4,6,2010-06-25,0,37,63,11
1119,27,3,57,53,0,iPhone 4 vs iPhone 3GS Video Quality Comparison Test,11852,0,4,6,2010-06-25,0,52,61,12
1114,16,0,105,49,0,Where I've Been / Partner! Thank You :)  & iPod Touch Winner,1766,0,5,6,2010-06-26,1,60,60,14
1113,95,54,178,457,0,"2010 13"" MacBook Pro 2.4 GHz Intel Core 2 Duo Unboxing",120287,14,5,6,2010-06-26,0,54,137,17
1112,47,9,266,258,0,Tour of a Geeks Room / My Desk Setup July 2010,25115,16,3,7,2010-07-01,5,46,123,31
1111,881,167,780,987,0,How to Increase YouTube Views & Subscribers / How I Make My Video Outro Photoshop Tutorial,154665,23,3,7,2010-07-15,14,90,228,14
1110,49,13,170,127,0,New 2010 iMac Update / Refresh - USB 3.0 Core i7 i5 i3 Touch Screen? Blu-Ray?,23362,21,4,7,2010-07-16,1,77,179,26
1109,41,24,325,117,0,"July 2010 Apple iMac ! 21.5"" / 27"" Core i3 Core i5 Core i7 ATI 5750 SSDs!",36137,22,1,7,2010-07-20,4,73,508,25
1108,43,18,399,138,0,"12 Core Mac Pro! 27"" Apple LED Cinema Display & Magic Trackpad! August 2010 Update",45346,21,2,7,2010-07-21,1,82,159,19
1107,28,10,207,134,0,iFrogz Luxe Lean iPhone 4 Case (Iron) Unboxing & Review,34963,19,4,7,2010-07-23,2,55,153,12
1106,16,6,173,97,0,Apple Magic Trackpad Unboxing & First Look,14565,16,1,7,2010-07-27,4,42,119,20
1105,68,7,260,184,0,"July 2010 27"" Core i5 2.8GHz Quad Core iMac Unboxing (4GB RAM / 1TB HD / ATI 5750)",16950,17,1,7,2010-07-27,0,82,164,23
1104,69,13,244,369,0,"27"" Core i5 2.8GHz Quad Core iMac Review and In Depth Look + GeekBench Benchmark (July 2010)",36018,15,2,7,2010-07-28,1,92,208,21
1103,230,50,261,332,0,"Gaming on 27"" Core i5 2.8GHz iMac",174704,1,4,7,2010-07-30,2,33,168,15
1102,104,54,265,582,0,Apple Magic Mouse vs. Magic Trackpad / Magic Trackpad Review,159289,22,4,7,2010-07-30,0,60,137,17
1101,84,12,150,159,0,"September 2010 iPod Touch 4G 4th Gen - Front Facing Camera, Gyroscope, Facetime & More!",43615,3,5,7,2010-07-31,1,87,243,17
1100,78,6,177,157,0,27 inch Core i7 Quad Core iMac Unboxing (July 2010 2.93GHz),23091,23,6,8,2010-08-01,1,59,164,24
1099,105,28,81,300,0,"27"" i5 vs i7 iMac Boot Up Showdown (Mid 2010) & Slow iMac Boot Up/Start Up Fix.",190825,22,3,8,2010-08-05,4,79,165,17
1098,159,18,236,829,0,Core i5 vs Core i7 Quad Core iMac Review (Mid 2010)Benchmarks & Which One You Should Buy!,141432,22,3,8,2010-08-05,0,89,175,17
1097,23,2,118,57,0,Madden 11 for iPhone 4 & iPod Touch Hands On Review - Boom!,18386,21,4,8,2010-08-06,1,59,141,19
1096,266,257,172,820,0,"How to Connect Two 27"" iMacs for a Dual Display Setup!",232789,19,6,8,2010-08-08,2,54,131,21
1095,176,120,118,284,0,iPhone 5 5G - iWallet?,304814,0,0,8,2010-08-09,1,22,230,17
1094,91,11,87,327,0,How to upgrade RAM / Memory on a 2010 iMac Core i3 i5 i7 (21.5in & 27in),89018,14,4,8,2010-08-13,4,72,188,18
1093,67,8,15,164,0,My TechWaffle Intro! - TLD Style :),4187,1,6,8,2010-08-15,2,35,89,15
1092,56,13,346,166,0,Peavey AmpKit Link Unboxing & App Review - Connect Your Guitar to Your iPhone!,66297,18,0,8,2010-08-16,1,78,1358,18
1091,69,5,312,242,0,Mid 2010 Core i7 Quad Core iMac Review + Geekbench Benchmark,28958,0,4,8,2010-08-20,4,60,154,24
1090,567,53,292,360,0,"Crysis on a Quad Core iMac (Core i7 27"" Mid 2010 ATI 5750) 2560x1440",199120,0,6,8,2010-08-22,2,68,292,22
1089,47,4,210,131,0,Monster Turbine High Performance In-Ear Speakers Unboxing & First Look,28422,23,1,8,2010-08-24,2,70,138,21
1088,15,2,177,52,0,Monster iClarity HD Stereo Bluetooth Speaker Unboxing & Hands On,4322,14,2,8,2010-08-25,1,64,145,20
1087,56,3,1183,146,0,Apple iPod Sept. 1st Event Preview/Debate w/ MTPFLYERS!,2937,17,3,8,2010-08-26,1,55,52,14
1086,34,2,360,90,0,Monster iClarity HD Stereo Bluetooth Review & Hands on Demo,15851,18,4,8,2010-08-27,1,59,293,22
1085,43,9,298,75,0,"New iPod Nano 6G Touch, iPod Touch 4G & Apple TV - Apple Fall Event Recap",22252,21,4,8,2010-08-27,0,73,225,29
1084,171,17,154,614,0,New iPod Touch 4G Unboxing & Hands On! (2010),79231,22,0,8,2010-08-30,3,45,345,24
1083,81,7,80,118,0,New iPod Nano 6G Unboxing (2010 iPod Nano Touch),46862,1,2,9,2010-09-01,2,48,249,12
1082,311,15,71,445,0,iPod Touch 4G 720P HD Video Quality Test,152578,20,2,9,2010-09-01,0,40,132,12
1079,976,118,178,1768,0,New iPod Touch 4G Review & Walkthrough,664159,22,2,9,2010-09-08,7,38,470,21
1081,238,31,147,405,0,New iPod Nano 6G Review & Walkthrough (Nano Touch) Featuring the iWatch :),147833,17,2,9,2010-09-08,0,74,484,15
1080,163,22,93,466,0,"iPod Touch 4G vs iPhone 4 Round 1 - Tech Specs, Geekbench & Retina Display",138521,19,2,9,2010-09-08,0,74,165,15
1078,149,41,245,590,0,iPod Nano 6G Unboxing and Review (PRODUCT) RED,128091,19,3,9,2010-09-09,1,46,317,19
1077,117,27,220,352,0,Halo Reach - Legendary Edition Unboxing & First Look,45747,1,4,9,2010-09-10,1,52,288,32
1076,23,3,117,108,0,Halo Reach Gameplay Footage :) Grenade in Yo Face! (HD),7026,0,5,9,2010-09-11,1,55,446,36
1075,36,9,162,103,0,Halo Reach Legendary Edition Review,8417,18,0,9,2010-09-13,2,35,379,20
1074,64,14,124,103,0,Playstation Move Unboxing (Eye Camera & Motion Controller),33856,8,1,9,2010-09-14,1,58,188,11
1073,34,12,248,116,0,"Playstation Move Demo, Setup & Overview",26148,22,1,9,2010-09-14,0,39,347,19
1072,87,12,123,134,0,Playstation Move: Resident Evil 5 Demo / Gameplay,102519,0,3,9,2010-09-16,2,49,223,24
1071,40,6,167,99,0,Playstation Move Review & Demo w/Gameplay,11764,19,4,9,2010-09-17,1,41,195,12
1070,45,6,101,114,0,Monster Clean Touch Review for iPad / iPod Touch & iPhone,9407,0,5,9,2010-09-18,1,57,476,11
1069,16,2,232,36,0,Halo: Reach Review & Gameplay (Official),2669,11,0,9,2010-09-20,2,40,304,28
1068,69,5,131,137,0,iPod Touch 4G Low Light  / Night Video Quality Test @ Disneyland! :),11595,1,1,9,2010-09-21,1,68,260,29
1067,94,12,215,204,0,My Setup / Desk Tour (Sep. 2010),34942,18,2,9,2010-09-22,1,32,644,53
1066,176,39,220,233,0,Blackberry PlayBook vs iPad - First Look & Comparison,143860,22,2,9,2010-09-22,0,53,1425,32
1065,51,8,150,272,0,New Apple TV Unboxing! (2010) 2nd Gen,21046,18,4,9,2010-09-24,2,37,314,22
