,comment_count,dislike_count,duration,like_count,live,title,view_count,publish_hour,publish_day,publish_month,publish_date,days_after_last_video,title_length,description_length,tag_count
1141,6,5,315,33,0,HD Tutorial: Change Your Login Screen,2420,20,4,5,2008-05-30,62,37,273,17
1140,40,18,574,159,0,HD Tutorial: Make your own Youtube Avatar,14148,1,1,9,2008-09-16,109,41,214,11
1139,8,1,139,36,0,"HD Tutorial: Add the ""New Tab"" button to Firefox",2557,19,3,1,2009-01-01,107,48,234,6
1138,6,5,219,26,0,HD Tutorial: Non-Ultimate Dreamscene,2270,22,3,1,2009-01-01,0,36,395,21
1137,10,2,350,38,0,HD Tutorial: Make Firefox Faster,3479,18,3,1,2009-01-29,28,32,253,7
1135,11,1,228,51,0,HD Tutorial: Get High-Resolution Wallpapers Quickly,3414,1,4,1,2009-01-30,1,51,299,16
1136,6,2,408,26,0,HD Tutorial: Make Internet Explorer Faster,2400,0,4,1,2009-01-30,0,42,324,2
1128,5,5,189,35,0,HD Tutorial: Boot Your Computer Faster,2698,20,4,1,2009-01-30,0,38,290,11
1129,6,3,283,37,0,HD Tutorial: Safari 4 Webkit,3354,2,4,1,2009-01-30,0,28,388,13
1130,5,1,146,18,0,HD Tutorial: Vistart,3256,2,4,1,2009-01-30,0,20,127,12
1127,3,2,98,31,0,HD Tutorial: Eliminate Menu Show Delay,2809,22,4,1,2009-01-30,0,38,368,14
1132,8,1,117,29,0,HD Tutorial: Start Menu Shutdown Button,1868,1,4,1,2009-01-30,0,39,405,6
1133,3,3,195,33,0,HD Tutorial: Screencasting Zoom Function,2116,1,4,1,2009-01-30,0,40,378,14
1134,16,1,140,43,0,HD Tutorial: Justhearit!,1442,1,4,1,2009-01-30,0,24,33,6
1131,27,7,95,91,0,HD Tutorial: Boost your built-in microphone,14525,1,4,1,2009-01-30,0,43,110,14
1126,5,3,114,28,0,HD Tutorial: Virtual Memory,2811,22,5,1,2009-01-31,1,27,310,15
1125,23,1,110,35,0,HD Tutorial: Disable User Account Control,1187,23,5,1,2009-01-31,0,41,404,19
1124,4,3,226,22,0,HD Tutorial: Safari and Webkit Addons,4916,23,5,1,2009-01-31,0,37,265,20
1116,8,2,161,20,0,HD Tutorial: Mozilla Tunderbird RSS,1271,21,6,2,2009-02-01,1,35,250,10
1113,6,3,234,26,0,HD Tutorial: Start Menu Customization,2425,23,6,2,2009-02-01,0,37,458,19
1114,29,2,164,30,0,HD Tutorial: Installing Firefox Themes,1137,23,6,2,2009-02-01,0,38,273,14
1115,6,3,100,31,0,HD Tutorial: Get OS X Cursors in Windows,1870,22,6,2,2009-02-01,0,40,538,17
1117,10,1,137,39,0,HD Tutorial: Camtasia Powerpoint Integration,5145,17,6,2,2009-02-01,0,44,225,8
1118,6,1,31,26,0,HD Test 1: Camtasia Studio 6,1451,6,6,2,2009-02-01,0,28,119,7
1119,35,22,400,95,0,HD Tutorial: Change Rocket Dock Icons,36541,6,6,2,2009-02-01,0,37,115,20
1120,20,3,87,49,0,HD Tutorial: Camstudio Hotkeys,7084,5,6,2,2009-02-01,0,30,172,13
1121,4,1,219,24,0,HD Benchmark: Safari Webkit,1530,5,6,2,2009-02-01,0,27,236,14
1122,4,1,207,20,0,HD Tutorial: Volume App,1643,3,6,2,2009-02-01,0,23,150,26
1123,31,1,279,91,0,HD Tutorial: Sidebar Gadgets,6794,0,6,2,2009-02-01,0,28,310,15
1112,6,8,99,29,0,"HD Tutorial: Firefox ""Superbar""",3082,19,0,2,2009-02-02,1,31,355,14
1111,12,2,123,26,0,HD Tutorial: Get Old Menus Back in Vista Explorer,1287,22,0,2,2009-02-02,0,49,300,21
1110,3,1,202,26,0,HD Tutorial: Offline Gmail,2241,22,0,2,2009-02-02,0,26,631,23
1109,9,3,162,41,0,HD Tutorial: Get OS X Theme on Rocket Dock,4670,22,0,2,2009-02-02,0,42,226,18
1108,2,6,179,24,0,HD Tutorial: Customize Command Prompt,1582,23,0,2,2009-02-02,0,37,437,13
1107,14,2,139,36,0,HD Tutorial: Get OS X Cursors in Windows (Request),4626,2,1,2,2009-02-03,1,50,449,16
1106,20,10,463,55,0,HD First Look: SRWare Iron,14079,2,1,2,2009-02-03,0,26,327,12
1105,9,2,150,22,0,HD Tutorial: Get Aero Shake For Vista or XP,1202,3,1,2,2009-02-03,0,43,429,17
1098,30,12,223,111,0,HD Tutorial: Get Free Youtube Layouts,23830,22,2,2,2009-02-04,1,37,268,18
1099,10,1,210,21,0,HD Tutorial: Take Screenshots in Windows Vista,1638,22,2,2,2009-02-04,0,46,439,31
1100,5,7,194,26,0,HD Tutorial: Tweak Safari for Speed,6967,21,2,2,2009-02-04,0,35,305,17
1103,10,2,168,46,0,HD Tutorial: Measure your Download and Upload Speeds,2710,1,2,2,2009-02-04,0,52,187,18
1102,3,1,153,20,0,HD Tutorial: Compatibility Mode,2194,3,2,2,2009-02-04,0,31,542,22
1104,23,5,345,46,0,HD Tutorial: Zoom in Camstudio,11897,0,2,2,2009-02-04,0,30,452,22
1101,14,2,116,33,0,HD Tutorial: Revert to Classic Windows Start Menu,1117,3,2,2,2009-02-04,0,49,346,18
1097,13,8,223,29,0,HD Tutorial: Upgrade to iTunes 8 Plus,7151,1,3,2,2009-02-05,1,37,544,30
1096,3,1,439,23,0,HD Review: Camstudio,1616,2,3,2,2009-02-05,0,20,297,7
1095,4,8,364,27,0,HD Tutorial: The Sage's English Dictionary and Thesaurus,4562,3,3,2,2009-02-05,0,56,654,34
1094,8,4,164,25,0,HD Tutorial: Google Earth 5.0,4051,23,4,2,2009-02-06,1,29,423,28
1093,11,4,191,34,0,HD Benchmarking: My Internet Speed,2295,23,4,2,2009-02-06,0,34,294,16
1092,21,3,163,54,0,HD Tutorial: Customize Autofill in Safari,4296,16,5,2,2009-02-07,1,41,276,21
1091,8,3,56,18,0,HD & Zoom/Pan Test - Camtasia Studio 6,1532,18,5,2,2009-02-07,0,38,131,8
1090,66,9,112,300,0,HD Battery Saver #1 - Defragmenting,28647,21,5,2,2009-02-07,0,35,299,7
1081,9,3,88,23,0,HD Tutorial: Enable Autopan in Camstudio (Request),1533,21,6,2,2009-02-08,1,50,209,18
1082,157,59,415,341,0,HD Tutorial: Create A Youtube Intro Video (Request),68863,20,6,2,2009-02-08,0,51,1320,17
1083,8,1,155,32,0,HD Tutorial: Eliminate Background Tasks (Request),2995,17,6,2,2009-02-08,0,49,254,18
1084,118,26,19,668,0,My new Official Intro Video,42031,17,6,2,2009-02-08,0,27,55,13
1085,37,5,89,208,0,Could Windows 7 Be a $50 Upgrade?,18337,14,6,2,2009-02-08,0,33,529,23
1087,17,2,143,32,0,HD Tutorial: Customizing Autoplay,1073,2,6,2,2009-02-08,0,33,233,16
1088,33,7,341,106,0,HD Battery Saver #3 - External Devices,11827,2,6,2,2009-02-08,0,38,181,17
1089,10,3,195,32,0,HD Battery Saver #2 - Disable Visual Effects (Aero!),1451,0,6,2,2009-02-08,0,52,178,14
1086,4,7,153,28,0,HD Tutorial: Get Windows Media Player 11 in Windows XP,4760,14,6,2,2009-02-08,0,54,380,22
1080,12,2,283,29,0,HD Tutorial: Upgrade Safari,1568,0,0,2,2009-02-09,1,27,272,20
1079,12,4,133,17,0,HD Tutorial: iTunes 9 Visualizer (Request),2823,0,0,2,2009-02-09,0,42,590,27
1077,92,15,60,515,0,New Ideas,31419,22,0,2,2009-02-09,0,9,367,22
1078,8,1,222,31,0,HD Battery Saver #4 - Power Options,1192,4,1,2,2009-02-10,1,35,245,24
1076,7,2,405,35,0,HD Skype Review (Request),2513,1,1,2,2009-02-10,0,25,651,20
1075,7,2,101,18,0,HD Tutorial: Camstudio Audio and Video Synchronization,2155,3,1,2,2009-02-10,0,54,209,25
1074,6,4,228,21,0,HD Tutorial: Encode any Video in HD for Youtube,1411,3,1,2,2009-02-10,0,47,591,27
1073,958,67,212,4841,0,Update 1.0 = Video 100!,142635,22,1,2,2009-02-10,0,23,364,23
1070,5,11,263,25,0,HD Tutorial: Upgrade to Skype 4 Beta,5321,3,2,2,2009-02-11,1,36,313,27
1069,5,8,164,33,0,HD Tutorial: Change or Create your Gmail Theme,7588,23,2,2,2009-02-11,0,46,491,16
1071,8,5,112,24,0,HD Battery Saver #5 - Hibernate,1283,2,2,2,2009-02-11,0,31,502,21
1072,75,6,463,310,0,HD Laptop Buying Guide,16392,1,2,2,2009-02-11,0,22,275,22
1064,38,20,133,64,0,HD Tutorial: DivX Codec For Camstudio (Request),15794,23,3,2,2009-02-12,1,47,385,26
1065,10,8,76,21,0,HD Vista Lite?,1747,22,3,2,2009-02-12,0,14,226,31
1068,18,5,8,87,0,My Official Youtube Outro!,6949,0,3,2,2009-02-12,0,26,70,6
1067,28,8,239,84,0,What does Youtube Want?,8531,1,3,2,2009-02-12,0,23,572,23
1066,14,31,80,44,0,HD Tutorial: Change Vista Start Menu Logo,2864,21,3,2,2009-02-12,0,41,381,21
1063,23,20,137,53,0,HD Tutorial: Camstudio Lossless Codec v1.4,15536,0,4,2,2009-02-13,1,42,373,27
1062,3,12,41,25,0,Camtwisting with Camtasia Studio 6 (Future Tutorial!),2526,1,4,2,2009-02-13,0,53,368,30
1061,7,7,251,41,0,HD Tutorial: Shiny Search (Request),5050,2,4,2,2009-02-13,0,35,341,24
1060,5,5,147,25,0,HD Tutorial: Watch HQ Content By Default,2968,21,4,2,2009-02-13,0,40,278,29
1059,10,8,570,44,0,HD Tutorial: Complete Rocketdock Walkthrough,6869,21,4,2,2009-02-13,0,44,516,23
1058,3,8,25,28,0,HD Camtasia Studio 6 Tilt Test,1711,6,5,2,2009-02-14,1,30,73,4
1057,13,11,167,32,0,HD Tutorial: CrystalXP.net,5209,1,6,2,2009-02-15,1,26,658,35
1056,42,12,115,267,0,Update 1.1,20535,20,6,2,2009-02-15,0,10,233,22
1052,8,4,409,30,0,HD Tutorial: Firefox 3.1 Beta 2,2377,20,0,2,2009-02-16,1,31,897,30
1053,5,2,149,30,0,HD Tutorial: Visual ToolTip for XP,3667,18,0,2,2009-02-16,0,34,524,32
1054,135,27,526,172,0,HD Tutorial: Safari 4.0,61015,17,0,2,2009-02-16,0,23,1180,40
1055,21,14,335,66,0,HD Tutorial: Install Windows Themes (Request),30962,5,0,2,2009-02-16,0,45,1341,29
1051,50,11,375,142,0,Youtube Mega-Widescreen Camtasia Studio 6 Settings,8170,2,1,2,2009-02-17,1,50,867,37
1048,19,3,446,52,0,HD Tutorial: Diskeeper Pro Premier,8643,21,2,2,2009-02-18,1,34,736,37
1050,13,7,156,47,0,HD Tutorial: Tilt In Camtasia Studio 6,3274,1,2,2,2009-02-18,0,38,299,22
1049,15,4,114,43,0,iMac and Mac Mini Refresh!,3909,2,2,2,2009-02-18,0,26,595,29
1047,14,10,305,45,0,2009 Mac Desktop Refresh: Mac Mini,7465,0,3,2,2009-02-19,1,34,1448,3
1046,3,5,119,17,0,HD Tutorial: Get Safari 3.2.2 Back (Request),1718,1,3,2,2009-02-19,0,44,369,27
1045,16,8,359,55,0,2009 Mac Desktop Refresh: iMac,7414,22,3,2,2009-02-19,0,30,1488,18
1044,17,4,173,47,0,HD Tutorial: Enable Advanced Disk Performance,2247,22,3,2,2009-02-19,0,45,466,31
1043,39,4,374,204,0,Update 2.0 & Inbox v1,8929,2,4,2,2009-02-20,1,21,305,29
1042,14,3,287,29,0,HD Tutorial: Audacity,2363,2,4,2,2009-02-20,0,21,179,25
1041,19,6,25,85,0,Welcome to My Youtube Channel! 720p Introduction,6600,2,5,2,2009-02-21,1,48,66,24
1040,43,11,277,109,0,2009 iPod Shuffle 3G,16215,4,5,2,2009-02-21,0,20,2066,27
1039,22,3,199,52,0,Are You A Geek?,2917,16,5,2,2009-02-21,0,15,460,29
1038,40,15,299,158,0,HD Tutorial: Dafont - Free Fonts Online,22505,17,5,2,2009-02-21,0,39,788,34
1034,9,3,210,25,0,HD Tutorial: Change # Of Speed Dials in Opera (Request),1750,20,6,2,2009-02-22,1,55,330,31
1035,29,2,31,85,0,Digital Camera Direct Upload HD/HQ Test 2,6024,17,6,2,2009-02-22,0,41,18,7
1037,46,3,371,159,0,Abbreviated iPhone 3.0 Wishlist,10251,0,6,2,2009-02-22,0,31,562,29
1036,26,5,33,93,0,HD Camera Fail (AVI Format),8869,15,6,2,2009-02-22,0,27,76,16
1032,56,8,366,218,0,iPhone 3Gs Software Overview,14303,21,0,2,2009-02-23,1,28,1193,27
1031,23,9,427,87,0,Media Center Remote Part 2,11847,22,0,2,2009-02-23,0,26,79,4
1030,44,11,141,73,0,HD Tutorial: Change Video Speed in Camtasia Studio,10266,22,0,2,2009-02-23,0,50,381,44
1033,18,10,199,53,0,HD Tutorial: Dual Docks (Request),6505,0,0,2,2009-02-23,0,33,369,33
1029,34,3,236,142,0,Update 2.1,11868,1,1,2,2009-02-24,1,10,240,29
1028,48,10,16,143,0,Possible Intro Video?,12089,2,2,2,2009-02-25,1,21,202,48
1027,17,5,246,58,0,HD Tutorial: Quality Wallpapers (Request),3468,23,2,2,2009-02-25,0,41,497,30
1026,20,9,65,129,0,Natural Audio Enhancement?,15662,2,4,2,2009-02-27,2,26,131,6
1025,15,7,472,48,0,HD Tutorial: Callouts in Camtasia Studio 6,4441,5,5,2,2009-02-28,1,42,432,35
1024,42,13,131,90,0,Gaaah! NEW Youtube Layout!,4499,3,1,3,2009-03-03,3,26,67,31
1023,10,4,326,33,0,HD Tutorial: Youtube Playlists,1697,22,1,3,2009-03-03,0,30,358,27
1022,9,5,178,35,0,Hd Tutorial: Fix Registry Issues Quickly,3356,0,2,3,2009-03-04,1,40,934,32
1021,44,15,8,83,0,My New Official Intro (Tutorial Coming!),21989,22,2,3,2009-03-04,0,40,277,31
1020,17,1,24,34,0,Animoto Widescreen/HQ Test,1790,1,3,3,2009-03-05,1,26,109,8
1019,59,9,317,210,0,HD Tutorial: Create A Channel Icon Using Gimp,20625,1,4,3,2009-03-06,1,45,457,28
1018,37,31,181,122,0,HP Pavilion dv7t Media Center Remote Size Comparison,26801,13,5,3,2009-03-07,1,52,219,16
1017,15,2,278,30,0,HD Tutorial: Google Translations and Conversions,1354,4,6,3,2009-03-08,1,48,250,42
1016,26,4,215,71,0,Protect Your PC - Conficker Worm!,4109,23,1,3,2009-03-10,2,33,380,36
1015,34,3,90,105,0,April FOO!!!,4939,1,2,3,2009-03-11,1,12,143,24
1014,21,3,258,100,0,HD Tutorial: Remove Background Noise,17083,21,2,3,2009-03-11,0,36,456,24
1013,32,3,171,71,0,HD Tutorial: Explore Mars in Google Earth 5.0,8131,23,3,3,2009-03-12,1,45,351,26
1012,30,4,32,116,0,Youtube Fail,4673,22,4,3,2009-03-13,1,12,1503,3
1011,23,12,242,56,0,HD Tutorial: Internet Explorer 8,16371,15,5,3,2009-03-14,1,32,315,20
1010,15,5,301,53,0,Hd Look at Micro SD Adapter (Unedited),10681,20,5,3,2009-03-14,0,38,336,21
1008,16,4,79,28,0,HD Tutorial: Remove Camtasia's Green Zoom Rectangle (Request),1452,4,6,3,2009-03-15,1,61,266,27
1007,12,3,128,36,0,HD Tutorial: Get a Character Map,3602,23,1,3,2009-03-17,2,32,322,26
1006,64,6,241,168,0,LG Voyager Hardware Overview [HD],7819,21,2,3,2009-03-18,1,33,241,15
1005,35,17,326,137,0,HD Tutorial: PIP Effect in Camtasia Studio 6,10698,3,3,3,2009-03-19,1,44,477,25
1004,7,3,32,30,0,3800+ Spam Messages in 30 Days (Can you beat me?),1696,21,3,3,2009-03-19,0,49,363,20
1003,5,3,218,21,0,HD Tutorial: Customize Office Word '07,1917,0,5,3,2009-03-21,2,38,454,19
1002,25,4,73,171,0,Update 2.2,11285,0,5,3,2009-03-21,0,10,153,17
1001,15,5,217,87,0,Unboxed: LG Voyager Hard Shell Case from ExtremePDA,6932,22,0,3,2009-03-23,2,51,428,17
999,10,4,192,67,0,HD Tutorial: Royalty Free Music,2326,19,2,3,2009-03-25,2,31,261,28
1000,27,14,146,96,0,HD Tutorial: Google Chrome Addons,13568,1,2,3,2009-03-25,0,33,316,15
998,10,7,242,77,0,Unboxed: Alto-Edge GN3 Desktop Microphone [HD],4767,3,3,3,2009-03-26,1,46,963,20
997,18,15,184,39,0,HD Tutorial: iTunes Visualizer,12937,3,5,3,2009-03-28,2,30,608,24
993,9,3,258,49,0,HD Tutorial: TweetDeck,4321,20,6,3,2009-03-29,1,22,616,23
