,comment_count,dislike_count,duration,like_count,view_count,days_after_last_video,title_length,description_length,tag_count,weekend,season_0,season_1,season_3,day_part_0,day_part_1,day_part_3,season_0,season_1,season_3,day_part_0,day_part_1,day_part_3,review,apple,google,samsung,tesla
0,6,5,315,33,2422,62,37,273,17,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,40,18,574,159,14159,109,41,214,11,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2,8,1,139,36,2561,107,48,234,6,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
3,6,5,219,26,2270,0,36,395,21,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
4,10,2,350,38,3481,28,32,253,7,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
5,11,1,228,51,3419,1,51,299,16,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
6,6,2,408,26,2401,0,42,324,2,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
7,5,5,189,35,2700,0,38,290,11,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
8,6,3,283,37,3363,0,28,388,13,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
9,6,1,146,18,3257,0,20,127,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
10,3,2,98,31,2810,0,38,368,14,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
11,8,1,117,29,1869,0,39,405,6,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
12,3,3,195,33,2116,0,40,378,14,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
13,16,1,140,43,1444,0,24,33,6,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
14,27,7,95,91,14540,0,43,110,14,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
15,5,3,114,28,2814,1,27,310,15,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
16,23,1,110,35,1191,0,41,404,19,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
17,4,3,226,22,4920,0,37,265,20,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
18,8,2,161,20,1272,1,35,250,10,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
19,6,3,234,26,2425,0,37,458,19,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
20,29,2,164,30,1141,0,38,273,14,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
21,6,3,100,31,1873,0,40,538,17,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
22,10,1,137,39,5157,0,44,225,8,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
23,6,1,31,26,1454,0,28,119,7,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,35,22,400,95,36545,0,37,115,20,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,20,3,87,49,7087,0,30,172,13,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
26,4,1,219,24,1536,0,27,236,14,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
27,4,1,207,20,1645,0,23,150,26,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
28,31,1,279,91,6795,0,28,310,15,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
29,6,8,99,29,3087,1,31,355,14,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
30,12,2,123,26,1289,0,49,300,21,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
31,3,1,202,26,2245,0,26,631,23,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
32,9,3,162,41,4677,0,42,226,18,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
33,2,6,179,24,1584,0,37,437,13,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
34,14,2,139,36,4632,1,50,449,16,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
35,20,10,463,55,14079,0,26,327,12,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
36,9,2,150,22,1204,0,43,429,17,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
37,30,12,223,111,23832,1,37,268,18,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
38,10,1,210,21,1638,0,46,439,31,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
39,5,7,194,26,6968,0,35,305,17,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
40,10,2,168,47,2714,0,52,187,18,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
41,3,1,153,20,2195,0,31,542,22,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
42,23,5,345,46,11898,0,30,452,22,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
43,14,2,116,33,1119,0,49,346,18,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
44,13,8,223,29,7153,1,37,544,30,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
45,3,1,439,23,1617,0,20,297,7,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
46,4,8,364,27,4566,0,56,654,34,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
47,8,4,164,25,4056,1,29,423,28,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0
48,11,4,191,34,2296,0,34,294,16,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
49,21,3,163,54,4296,1,41,276,21,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
50,8,3,56,18,1533,0,38,131,8,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
51,66,9,112,302,28738,0,35,299,7,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
52,9,3,88,23,1534,1,50,209,18,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
53,157,59,415,342,68866,0,51,1320,17,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
54,8,1,155,32,3004,0,49,254,18,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
55,118,26,19,670,42146,0,27,55,13,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
56,37,5,89,209,18393,0,33,529,23,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
57,17,2,143,32,1073,0,33,233,16,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
58,33,7,341,106,11860,0,38,181,17,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
59,10,3,195,32,1454,0,52,178,14,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
60,4,7,153,28,4765,0,54,380,22,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
61,12,2,283,29,1570,1,27,272,20,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
62,12,4,133,17,2826,0,42,590,27,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
63,92,15,60,517,31511,0,9,367,22,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
64,8,1,222,31,1193,1,35,245,24,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
65,7,2,405,35,2515,0,25,651,20,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0
66,7,2,101,18,2156,0,54,209,25,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
67,6,4,228,21,1411,0,47,591,27,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
